marca,modelo,titulo,valor,cidade,bairro,ano,km,link
Toyota,Etios X Plus,Toyota Etios X Plus 1.5 Flex 16V 5P Aut. 2019,59900,Salvador,Pituba,2019.0,185000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-x-plus-1-5-flex-16v-5p-aut-2019-1482710594
Citroen,C3 Tendance,Citroen C3 Tendance 1.5 Flex 8V 5P Mec. 2015,39990,Lauro de Freitas,Centro,2015.0,134000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-tendance-1-5-flex-8v-5p-mec-2015-1475241406
Toyota,Yaris XS,Toyota Yaris XS 1.5 Flex 16V 5P Aut. 2020,76800,Salvador,Mussurunga I,2020.0,41700.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-yaris-xs-1-5-flex-16v-5p-aut-2020-1470380638
Toyota,Corolla Altis Prem. Hybrid,Toyota Corolla Altis Prem. Hybrid 1.8 Flex AUT 2023,147990,Lauro de Freitas,Centro,2023.0,63000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-altis-prem-hybrid-1-8-flex-aut-2023-1474913698
Volkswagen,Nivus Comfortline,Volkswagen Nivus Comfortline 1.0 200 TSI Flex AUT 2024,102000,Salvador,Itaigara,2024.0,30000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-nivus-comfortline-1-0-200-tsi-flex-aut-2024-1482382043
Fiat,Strada Freedom,Fiat Strada Freedom 1.3 Flex 8V CS Plus 2024,111190,Salvador,São Cristóvão,2024.0,39435.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-freedom-1-3-flex-8v-cs-plus-2024-1482710293
Toyota,Corolla Cross XRE,Toyota Corolla Cross XRE 2.0 16V Flex AUT 2025,164000,Salvador,Itaigara,2025.0,55000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-cross-xre-2-0-16v-flex-aut-2025-1482364439
Chery,Tiggo 8 MAX Drive,Chery Tiggo 8 MAX Drive 1.6 Turbo Aut. 2023,132997,Salvador,São Marcos,2023.0,42356.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-8-max-drive-1-6-turbo-aut-2023-1482702427
Renault,Kwid Zen,Renault Kwid Zen 1.0 Flex 12V 5P Mec. 2022,41000,Salvador,Itaigara,2022.0,30000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-zen-1-0-flex-12v-5p-mec-2022-1482393393
Ford,Fiesta,Ford Fiesta 1.0 8V Flex/class 1.0 8V Flex 5P 2008,16000,Salvador,Pau Miúdo,2008.0,185000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-1-0-8v-flex-class-1-0-8v-flex-5p-2008-1482709594
Chery,Tiggo 7 Pro MAX Drive,Chery Tiggo 7 Pro MAX Drive 1.5 TB (hibrido) 2024,144900,Lauro de Freitas,Buraquinho,2024.0,18965.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-7-pro-max-drive-1-5-tb-hibrido-2024-1482707806
Jeep,Compass Limited,Jeep Compass Limited 2.0 4X2 Flex 16V Aut. 2017,82000,Salvador,Itaigara,2017.0,116.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-limited-2-0-4x2-flex-16v-aut-2017-1482709277
Ford,Ranger XL,Ford Ranger XL 2.0l 4X4 2024,159900,Salvador,Imbuí,2024.0,19000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xl-2-0l-4x4-2024-1461047215
Chevrolet,Trailblazer Premier,Chevrolet Trailblazer Premier 2.8 TB Diesel Aut. 2020,170000,Camaçari,Catu de Abrantes (Abrantes),2020.0,104000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-trailblazer-premier-2-8-tb-diesel-aut-2020-1459435049
Toyota,Corolla Cross Gr-s,Toyota Corolla Cross Gr-s 2.0 16V Flex Aut. 2023,144900,Salvador,Canela,2023.0,57000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-cross-gr-s-2-0-16v-flex-aut-2023-1482708199
Volkswagen,Logus,Volkswagen Logus 1.8 / CLI / CL (álcool) 1995,6500,Salvador,Itapuã,1995.0,100000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-logus-1-8-cli-cl-alcool-1995-1482707123
Fiat,Mobi Drive GSR,Fiat Mobi Drive GSR 1.0 Flex 6V 5P 2019,46900,Lauro de Freitas,Vilas do Atlântico,2019.0,22000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-drive-gsr-1-0-flex-6v-5p-2019-1482706910
Fiat,Mobi Like,Fiat Mobi Like 1.0 Fire Flex 5P. 2017,38900,Salvador,Pirajá,2017.0,107000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-like-1-0-fire-flex-5p-2017-1482705301
Honda,Civic Sedan LX,Honda Civic Sedan LX 2.0 Flex 16V Aut. 4P 2020,118900,Salvador,Água de Meninos,2020.0,52521.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-sedan-lx-2-0-flex-16v-aut-4p-2020-1482703823
Renault,Duster Dynamique,Renault Duster Dynamique 1.6 Flex 16V Aut. 2020,76900,Salvador,Água de Meninos,2020.0,75420.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-dynamique-1-6-flex-16v-aut-2020-1482703793
Chevrolet,Onix Hatch LT,Chevrolet Onix Hatch LT 1.0 8V Flex Mec. 4P 2013,45900,Salvador,Água de Meninos,2013.0,67755.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-hatch-lt-1-0-8v-flex-mec-4p-2013-1482702766
Chevrolet,Spin Activ7,Chevrolet Spin Activ7 1.8 8V Econo.flex 5P Aut. 2023,91900,Salvador,Pituba,2023.0,65000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-activ7-1-8-8v-econo-flex-5p-aut-2023-1482702464
Volkswagen,Parati 1000 MI,Volkswagen Parati 1000 MI 16V 4P Turbo 2001,8000,Simões Filho,Luís Eduardo Magalhães,2001.0,400.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-parati-1000-mi-16v-4p-turbo-2001-1482702360
Chevrolet,Classic Life/ls,Chevrolet Classic Life/ls 1.0 VHC Flexp. 4P 2022,20000,Salvador,São Marcos,2022.0,198000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-classic-life-ls-1-0-vhc-flexp-4p-2022-1482702371
Chery,QQ,Chery QQ 1.0 ACT FL 12v/1.0 12V Flex 5P 2019,30200,Salvador,Barbalho,2019.0,49856.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chery-qq-1-0-act-fl-12v-1-0-12v-flex-5p-2019-1482702318
Aluguel,Chevrolet Prisma,Aluguel Chevrolet Prisma 1.0 2014 com GNV,45000,Salvador,Vila Laura,2014.0,150000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/aluguel-chevrolet-prisma-1-0-2014-com-gnv-1470323784
Toyota,Corolla XEI,Toyota Corolla XEI 2.0 Flex 16V Aut. 2022,123990,Salvador,Graça,2022.0,101023.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-flex-16v-aut-2022-1448791872
Volkswagen,Gol Geração IV City Trend,Volkswagen Gol Geração IV City Trend 1.0 8V MI Total Flex Mec. 4P 2007,15000,Salvador,CEASA,2007.0,180.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-geracao-iv-city-trend-1-0-8v-mi-total-flex-mec-4p-2007-1482701722
Chevrolet,Onix JOY Hatch,Chevrolet Onix JOY Hatch 1.0 8V Flex Mec. 4P 2017,41800,Salvador,Cabula,2017.0,209000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-joy-hatch-1-0-8v-flex-mec-4p-2017-1482701641
Toyota,Prius Hybrid,Toyota Prius Hybrid 1.8 16V 5P Aut. 2018,85700,Camaçari,Catu de Abrantes (Abrantes),2018.0,85000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-prius-hybrid-1-8-16v-5p-aut-2018-1479739685
Chevrolet,Classic Life/ls,Chevrolet Classic Life/ls 1.0 VHC Flexp. 4P 2014,26800,Salvador,Ilha Amarela,2014.0,150000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-classic-life-ls-1-0-vhc-flexp-4p-2014-1482471671
Hyundai,HB20 Comfort Plus,Hyundai HB20 Comfort Plus 1.0 Flex 12V Mec. 2025,74200,Lauro de Freitas,Centro,2025.0,75793.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-comfort-plus-1-0-flex-12v-mec-2025-1482699870
Volkswagen,Polo Track,Volkswagen Polo Track 1.0 Flex 12V 5P 2024,72500,Lauro de Freitas,Centro,2024.0,71390.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-track-1-0-flex-12v-5p-2024-1482699858
Volkswagen,Fox City,Volkswagen Fox City 1.0mi/ 1.0mi Total Flex 8V 3P 2025,25000,Salvador,Cabula,2025.0,20000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox-city-1-0mi-1-0mi-total-flex-8v-3p-2025-1482699833
Citroen,C4 Cactus Feel Pack,Citroen C4 Cactus Feel Pack 1.6 16V Flex AUT 2022,72900,Salvador,Saúde,2022.0,59000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/citroen-c4-cactus-feel-pack-1-6-16v-flex-aut-2022-1482468531
Nissan,Kicks Active,Nissan Kicks Active 1.6 16V Flex Aut. 2024,98900,Salvador,Itapuã,2024.0,44193.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-active-1-6-16v-flex-aut-2024-1479609235
Fiat,Argo Drive,Fiat Argo Drive 1.0 6V Flex 2024,69900,Salvador,Itapuã,2024.0,44136.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-drive-1-0-6v-flex-2024-1479613764
Renault,Fluence Sed. Dynamique,Renault Fluence Sed. Dynamique 2.0 16V Flex Aut. 2013,45000,Salvador,Narandiba,2013.0,150.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/renault-fluence-sed-dynamique-2-0-16v-flex-aut-2013-1482699183
Honda,HR-V LX,Honda HR-V LX 1.8 Flexone 16V 5P Aut. 2019,99900,Salvador,Itapuã,2019.0,63000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/honda-hr-v-lx-1-8-flexone-16v-5p-aut-2019-1472479606
Volkswagen,T-Cross,Volkswagen T-Cross 1.0 TSI Flex 12V 5P Aut. 2025,125900,Salvador,Itapuã,2025.0,17590.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-1-0-tsi-flex-12v-5p-aut-2025-1454433580
Jeep,Compass Longitude,Jeep Compass Longitude 2.0 4X4 Dies. 16V Aut. 2019,95900,Salvador,Brotas,2019.0,65000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-longitude-2-0-4x4-dies-16v-aut-2019-1482614537
Fiat,Palio,Fiat Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 2P 2003,10000,Vera Cruz,Centro/Geral,2003.0,64669.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-1-0-trofeo-1-0-fire-fire-flex-2p-2003-1482698592
Volkswagen,T-Cross,Volkswagen T-Cross 1.0 TSI Flex 12V 5P Aut. 2024,106400,Salvador,Água de Meninos,2024.0,81108.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-1-0-tsi-flex-12v-5p-aut-2024-1482698390
Hyundai,Creta Ultimate,Hyundai Creta Ultimate 2.0 16V Flex AUT 2023,129900,Salvador,Água de Meninos,2023.0,80000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-ultimate-2-0-16v-flex-aut-2023-1482698308
Citroen,Aircross Shine,Citroen Aircross Shine 1.6 Flex 16V 5P Aut. 2018,55900,Salvador,Brotas,2018.0,69000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/citroen-aircross-shine-1-6-flex-16v-5p-aut-2018-1482681838
Ford,Fiesta SE,Ford Fiesta SE 1.0 8V Flex 5P 2014,25000,Salvador,Pituba,2014.0,150000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-se-1-0-8v-flex-5p-2014-1482698195
Chevrolet,Agile LTZ,Chevrolet Agile LTZ 1.4 MPFI 8V Flexpower 5P 2011,31990,Salvador,Água de Meninos,2011.0,73000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-agile-ltz-1-4-mpfi-8v-flexpower-5p-2011-1482697838
Fiat,Mobi Like,Fiat Mobi Like 1.0 Fire Flex 5P. 2025,65590,Salvador,Cabula,2025.0,34212.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-like-1-0-fire-flex-5p-2025-1482697522
Fiat,Argo Drive,Fiat Argo Drive 1.0 Firefly 2025,76890,Salvador,Paralela,2025.0,45261.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-drive-1-0-firefly-2025-1482697517
Hyundai,Creta Comfort Plus,Hyundai Creta Comfort Plus 1.0 TB 12V Flex Aut. 2025,132390,Salvador,Paralela,2025.0,42765.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-comfort-plus-1-0-tb-12v-flex-aut-2025-1482697404
Chevrolet,Prisma Sed. Joy/ LS,Chevrolet Prisma Sed. Joy/ LS 1.0 8V Flexpower 4P 2017,25700,Camaçari,Centro/Geral,2017.0,,https://www.olx.com.br/vi/1482676587?rec=l
Toyota,Corolla GLI,Toyota Corolla GLI 1.8 Flex 16V Aut. 2013,57900,Salvador,Centro/Geral,2013.0,,https://www.olx.com.br/vi/1482696757?rec=l
Volkswagen,Polo,Volkswagen Polo 1.0 Flex 12V 5P 2020,60500,Salvador,Centro/Geral,2020.0,,https://www.olx.com.br/vi/1482720317?rec=l
Volkswagen,Polo Sedan,Volkswagen Polo Sedan 1.6 MI 101cv 8V 4P 2004,19900,Salvador,Centro/Geral,2004.0,,https://www.olx.com.br/vi/1482668970?rec=l
Toyota,Corolla XEI,Toyota Corolla XEI 2.0 Flex 16V Aut. 2017,82000,Salvador,Centro/Geral,2017.0,,https://www.olx.com.br/vi/1482721965?rec=l
Ford,Ranger XLS,Ford Ranger XLS 2.2 4X4 CD Diesel Aut. 2019,120000,Salvador,Centro/Geral,2019.0,,https://www.olx.com.br/vi/1482723794?rec=l
Volkswagen,Gol Geração V,Volkswagen Gol Geração V 1.0 8V MI Total Flex Mec. 4P 2010,24150,Salvador,Centro/Geral,2010.0,,https://www.olx.com.br/vi/1482722045?rec=l
Toyota,Hilux CD SRV D4-d 4X4,Toyota Hilux CD SRV D4-d 4X4 3.0 TDI Diesel AUT 2013,120000,Salvador,Centro/Geral,2013.0,,https://www.olx.com.br/vi/1482722418?rec=l
Nissan,Versa SL,Nissan Versa SL 1.6 16V Flexstart 4P Aut. 2018,60900,Salvador,Centro/Geral,2018.0,,https://www.olx.com.br/vi/1482718651?rec=l
Volkswagen,Jetta Highline,Volkswagen Jetta Highline 2.0 TSI 16V 4P Tiptronic 2012,45000,Salvador,Centro/Geral,2012.0,,https://www.olx.com.br/vi/1482636913?rec=l
